image_id,file_name,source_key,source_file,topic,image_type,roles,status,width,height,media_ref,source_anchor,caption,nearby_text,linking_bucket,related_section,notes
img_0001,Правила_фотосъемки_монтажа_Чек_лист_ред1__img_001.jpeg,Правила_фотосъемки_монтажа_Чек_лист_ред1,Правила_фотосъемки_монтажа_Чек_лист_ред1.docx,photo_report,photo_example,installer|hq_engineer,raw_extracted|ready_for_linking,647,936,media/image1.jpeg,Важно!,Важно!,"Важно! Система должна целиком помещаться на фотографии с запасом по всем 4-м сторонам. Необходимо убедиться, что фотографии чёткие, сделаны без размытия.",ready_for_linking,photo_report,Photo examples for montage photo checklist.
img_0002,Правила_фотосъемки_монтажа_Чек_лист_ред1__img_002.jpeg,Правила_фотосъемки_монтажа_Чек_лист_ред1,Правила_фотосъемки_монтажа_Чек_лист_ред1.docx,photo_report,photo_example,installer|hq_engineer,raw_extracted|ready_for_linking,631,1048,media/image2.jpeg,Важно!,Важно!,"Важно! Система должна целиком помещаться на фотографии с запасом по всем 4-м сторонам. Необходимо убедиться, что фотографии чёткие, сделаны без размытия.",ready_for_linking,photo_report,Photo examples for montage photo checklist.
img_0003,ЭЛК_1_Базовые_знания_Основные_понятия_ред1_1__img_001.png,ЭЛК_1_Базовые_знания_Основные_понятия_ред1_1,ЭЛК_1_Базовые_знания_Основные_понятия_ред1_1.docx,basic_knowledge,diagram,installer|electrician,raw_extracted|ready_for_linking,899,613,media/image1.png,"При последовательном соединении напряжение соединяемых АКБ суммируется, а емкость группы соответствует номинальной емкости используемых АКБ.","При последовательном соединении напряжение соединяемых АКБ суммируется, а емкость группы соответствует номинальной емкости используемых АКБ.","Последовательное подключение — соединение нескольких АКБ клеммами «минус – плюс». Параллельное подключение — соединение нескольких АКБ клеммами «минус – минус», «плюс – плюс». Смотрите изображение ниже: При последовательном соединении напряжение соединяемых АКБ суммируется, а емкость группы соответствует номинальной емкости используемых АКБ. При параллельном соединении напряжение не меняется, а емкости суммируются. Пример на рисунке выше. Все используемые в нашей работе АКБ имеют номинальное напряжение 12В и разную емкость (С):",ready_for_linking,basic_knowledge,Basic explanatory visual.
img_0004,ЭЛК_2_1_техн.карты_изделий.__img_001.png,ЭЛК_2_1_техн.карты_изделий.,ЭЛК_2_1 техн.карты изделий..docx,ups_components,decorative_or_unclear,installer|electrician|hq_engineer,raw_extracted|exclude_candidate|needs_classification,225,62,media/image1.png,Бокорез,Small icon or fragment,"Графическое изображение Инструменты Отрезать кусок кабеля 5Х4, длинной 2 метра: Бокорез Зачистить концы кабеля: с одной стороны 100мм.",exclude_candidate,ups_components,Technical cards and assembly visuals.
img_0005,ЭЛК_2_1_техн.карты_изделий.__img_002.jpeg,ЭЛК_2_1_техн.карты_изделий.,ЭЛК_2_1 техн.карты изделий..docx,ups_components,diagram,installer|electrician|hq_engineer,raw_extracted|needs_classification,556,432,media/image2.jpeg,Бокорез,Бокорез,"Графическое изображение Инструменты Отрезать кусок кабеля 5Х4, длинной 2 метра: Бокорез Зачистить концы кабеля: с одной стороны 100мм. || Графическое изображение Инструменты Нарезать куски кабеля, необходимого по заданию длинны и количества: Зачистить концы кабеля от изоляции необходимой длинны, не больше длинны втулки наконечника Надеть наконечник на зачищенные жилы. Установить матрицы согласно диаметру втулки наконечника:",candidate_for_linking,ups_components,Technical cards and assembly visuals.
img_0006,ЭЛК_2_1_техн.карты_изделий.__img_003.png,ЭЛК_2_1_техн.карты_изделий.,ЭЛК_2_1 техн.карты изделий..docx,ups_components,diagram,installer|electrician|hq_engineer,raw_extracted|needs_classification,391,260,media/image3.png,Нож для разделки кабеля,Нож для разделки кабеля,"Зачистить концы кабеля: с одной стороны 100мм. с другой стороны 200мм. Нож для разделки кабеля 2.1.Чтобы разделать конец кабеля: 1)Нужно надеть нож на кабель согласно размеру отреза указанному в п.2., провернуть несколько оборотов вокруг кабеля, чтобы прорезать внешнюю изоляцию.",candidate_for_linking,ups_components,Technical cards and assembly visuals.
img_0007,ЭЛК_2_1_техн.карты_изделий.__img_004.png,ЭЛК_2_1_техн.карты_изделий.,ЭЛК_2_1 техн.карты изделий..docx,ups_components,diagram,installer|electrician|hq_engineer,raw_extracted|needs_classification,442,260,media/image4.png,Нож для разделки кабеля,Нож для разделки кабеля,"Зачистить концы кабеля: с одной стороны 100мм. с другой стороны 200мм. Нож для разделки кабеля 2.1.Чтобы разделать конец кабеля: 1)Нужно надеть нож на кабель согласно размеру отреза указанному в п.2., провернуть несколько оборотов вокруг кабеля, чтобы прорезать внешнюю изоляцию.",candidate_for_linking,ups_components,Technical cards and assembly visuals.
img_0008,ЭЛК_2_1_техн.карты_изделий.__img_005.png,ЭЛК_2_1_техн.карты_изделий.,ЭЛК_2_1 техн.карты изделий..docx,ups_components,diagram,installer|electrician|hq_engineer,raw_extracted|needs_classification,318,260,media/image5.png,Нож для разделки кабеля,Нож для разделки кабеля,"Зачистить концы кабеля: с одной стороны 100мм. с другой стороны 200мм. Нож для разделки кабеля 2.1.Чтобы разделать конец кабеля: 1)Нужно надеть нож на кабель согласно размеру отреза указанному в п.2., провернуть несколько оборотов вокруг кабеля, чтобы прорезать внешнюю изоляцию. || Инструменты Нарезать куски кабеля, необходимого по заданию длинны и количества: Зачистить концы кабеля от изоляции необходимой длинны, не больше длинны втулки наконечника Надеть наконечник на зачищенные жилы. Установить матрицы согласно диаметру втулки наконечника: ф25- 25/16",candidate_for_linking,ups_components,Technical cards and assembly visuals.
img_0009,ЭЛК_2_1_техн.карты_изделий.__img_006.png,ЭЛК_2_1_техн.карты_изделий.,ЭЛК_2_1 техн.карты изделий..docx,ups_components,diagram,installer|electrician|hq_engineer,raw_extracted|needs_classification,875,2451,media/image6.png,Зачистить концы жил:,Зачистить концы жил:,"2.1.Чтобы разделать конец кабеля: 1)Нужно надеть нож на кабель согласно размеру отреза указанному в п.2., провернуть несколько оборотов вокруг кабеля, чтобы прорезать внешнюю изоляцию. 2)Затем, не снимая нож с кабеля, потянуть его в сторону края кабеля, прорезая тем самым изоляцию вдоль кабеля.(Важно! Перед разделкой необходимо отрегулировать вылет лезвия, чтобы не повредить изоляцию жил.) 1) 2) Зачистить концы жил: Стрипер Надеть и опресовать наконечники сечением 4мм на все зачищенные концы жил кабеля с обоих концов:.",candidate_for_linking,ups_components,Technical cards and assembly visuals.
img_0010,ЭЛК_2_1_техн.карты_изделий.__img_007.png,ЭЛК_2_1_техн.карты_изделий.,ЭЛК_2_1 техн.карты изделий..docx,ups_components,diagram,installer|electrician|hq_engineer,raw_extracted|needs_classification,773,628,media/image7.png,Зачистить концы жил:,Зачистить концы жил:,"2.1.Чтобы разделать конец кабеля: 1)Нужно надеть нож на кабель согласно размеру отреза указанному в п.2., провернуть несколько оборотов вокруг кабеля, чтобы прорезать внешнюю изоляцию. 2)Затем, не снимая нож с кабеля, потянуть его в сторону края кабеля, прорезая тем самым изоляцию вдоль кабеля.(Важно! Перед разделкой необходимо отрегулировать вылет лезвия, чтобы не повредить изоляцию жил.) 1) 2) Зачистить концы жил: Стрипер Надеть и опресовать наконечники сечением 4мм на все зачищенные концы жил кабеля с обоих концов:.",candidate_for_linking,ups_components,Technical cards and assembly visuals.
